"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Italy (IT)","Actual Total Load [MW] - Italy (IT)"
"05.06.2022 07:00 - 05.06.2022 08:00","23803","23752"
"05.06.2022 08:00 - 05.06.2022 09:00","25323","25115"
"05.06.2022 09:00 - 05.06.2022 10:00","26996","26995"
"05.06.2022 10:00 - 05.06.2022 11:00","27716","28593"
"05.06.2022 11:00 - 05.06.2022 12:00","28583","28826"
"05.06.2022 12:00 - 05.06.2022 13:00","28512","29408"
"05.06.2022 13:00 - 05.06.2022 14:00","27854","28195"
"05.06.2022 14:00 - 05.06.2022 15:00","26918","27566"
"05.06.2022 15:00 - 05.06.2022 16:00","26394","28147"
"05.06.2022 16:00 - 05.06.2022 17:00","26717","28930"
"05.06.2022 17:00 - 05.06.2022 18:00","26966","29532"
"05.06.2022 18:00 - 05.06.2022 19:00","27956","30021"
"05.06.2022 19:00 - 05.06.2022 20:00","28959","30964"
"05.06.2022 20:00 - 05.06.2022 21:00","30986","31226"
"05.06.2022 21:00 - 05.06.2022 22:00","31707","31516"
"05.06.2022 22:00 - 05.06.2022 23:00","30510","30254"
"05.06.2022 23:00 - 06.06.2022 00:00","28682","27829"
"06.06.2022 00:00 - 06.06.2022 01:00","25043","25570"
"06.06.2022 01:00 - 06.06.2022 02:00","23329","24063"
"06.06.2022 02:00 - 06.06.2022 03:00","22656","23180"
"06.06.2022 03:00 - 06.06.2022 04:00","22127","22955"
"06.06.2022 04:00 - 06.06.2022 05:00","22441","23449"
"06.06.2022 05:00 - 06.06.2022 06:00","23476","24459"
"06.06.2022 06:00 - 06.06.2022 07:00","27363","28752"
"06.06.2022 07:00 - 06.06.2022 08:00","33571","34209"
"06.06.2022 08:00 - 06.06.2022 09:00","38172","39178"
"06.06.2022 09:00 - 06.06.2022 10:00","40387","41119"
"06.06.2022 10:00 - 06.06.2022 11:00","40241","41277"
"06.06.2022 11:00 - 06.06.2022 12:00","40408","41934"
"06.06.2022 12:00 - 06.06.2022 13:00","39527","40660"
"06.06.2022 13:00 - 06.06.2022 14:00","39633","41264"
"06.06.2022 14:00 - 06.06.2022 15:00","40576","42497"
"06.06.2022 15:00 - 06.06.2022 16:00","41144","43117"
"06.06.2022 16:00 - 06.06.2022 17:00","41469","43304"
"06.06.2022 17:00 - 06.06.2022 18:00","40432","42276"
"06.06.2022 18:00 - 06.06.2022 19:00","39778","41032"
"06.06.2022 19:00 - 06.06.2022 20:00","38719","40426"
"06.06.2022 20:00 - 06.06.2022 21:00","37336","39552"
"06.06.2022 21:00 - 06.06.2022 22:00","36427","38758"
"06.06.2022 22:00 - 06.06.2022 23:00","33721","35943"
"06.06.2022 23:00 - 07.06.2022 00:00","31254","33005"
"07.06.2022 00:00 - 07.06.2022 01:00","29653","30226"
"07.06.2022 01:00 - 07.06.2022 02:00","28065","28533"
"07.06.2022 02:00 - 07.06.2022 03:00","26932","27536"
"07.06.2022 03:00 - 07.06.2022 04:00","26583","27047"
"07.06.2022 04:00 - 07.06.2022 05:00","26716","26975"
"07.06.2022 05:00 - 07.06.2022 06:00","27420","27649"
"07.06.2022 06:00 - 07.06.2022 07:00","30504","31197"
"07.06.2022 07:00 - 07.06.2022 08:00","35642","36658"
"07.06.2022 08:00 - 07.06.2022 09:00","40218","41513"
"07.06.2022 09:00 - 07.06.2022 10:00","42326","43734"
"07.06.2022 10:00 - 07.06.2022 11:00","42481","43956"
"07.06.2022 11:00 - 07.06.2022 12:00","43142","44130"
"07.06.2022 12:00 - 07.06.2022 13:00","41126","42486"
"07.06.2022 13:00 - 07.06.2022 14:00","40772","42325"
"07.06.2022 14:00 - 07.06.2022 15:00","41710","42586"
"07.06.2022 15:00 - 07.06.2022 16:00","42692","43334"
"07.06.2022 16:00 - 07.06.2022 17:00","43015","43201"
"07.06.2022 17:00 - 07.06.2022 18:00","41911","42053"
"07.06.2022 18:00 - 07.06.2022 19:00","40977","40755"
"07.06.2022 19:00 - 07.06.2022 20:00","40267","39906"
"07.06.2022 20:00 - 07.06.2022 21:00","39472","38817"
"07.06.2022 21:00 - 07.06.2022 22:00","37833","38276"
"07.06.2022 22:00 - 07.06.2022 23:00","35739","35304"
"07.06.2022 23:00 - 08.06.2022 00:00","32696","32428"
"08.06.2022 00:00 - 08.06.2022 01:00","30635","29760"
"08.06.2022 01:00 - 08.06.2022 02:00","28921","28199"
"08.06.2022 02:00 - 08.06.2022 03:00","27688","27291"
"08.06.2022 03:00 - 08.06.2022 04:00","27243","26859"
"08.06.2022 04:00 - 08.06.2022 05:00","27304","27015"
"08.06.2022 05:00 - 08.06.2022 06:00","27833","27475"
"08.06.2022 06:00 - 08.06.2022 07:00","30648","31128"
"08.06.2022 07:00 - 08.06.2022 08:00","35520","36509"
"08.06.2022 08:00 - 08.06.2022 09:00","39868","40892"
"08.06.2022 09:00 - 08.06.2022 10:00","41823","42035"
"08.06.2022 10:00 - 08.06.2022 11:00","42293","42109"
"08.06.2022 11:00 - 08.06.2022 12:00","42780","42166"
"08.06.2022 12:00 - 08.06.2022 13:00","40858","40243"
"08.06.2022 13:00 - 08.06.2022 14:00","40395","40811"
"08.06.2022 14:00 - 08.06.2022 15:00","41323","42172"
"08.06.2022 15:00 - 08.06.2022 16:00","42077","42259"
"08.06.2022 16:00 - 08.06.2022 17:00","42153","41867"
"08.06.2022 17:00 - 08.06.2022 18:00","41324","41734"
"08.06.2022 18:00 - 08.06.2022 19:00","39862","40805"
"08.06.2022 19:00 - 08.06.2022 20:00","40670","40405"
"08.06.2022 20:00 - 08.06.2022 21:00","39451","39298"
"08.06.2022 21:00 - 08.06.2022 22:00","38519","38187"
"08.06.2022 22:00 - 08.06.2022 23:00","36089","35425"
"08.06.2022 23:00 - 09.06.2022 00:00","32905","32580"
"09.06.2022 00:00 - 09.06.2022 01:00","29584","29960"
"09.06.2022 01:00 - 09.06.2022 02:00","27908","28146"
"09.06.2022 02:00 - 09.06.2022 03:00","26861","27169"
"09.06.2022 03:00 - 09.06.2022 04:00","26487","26815"
"09.06.2022 04:00 - 09.06.2022 05:00","26446","26834"
"09.06.2022 05:00 - 09.06.2022 06:00","27122","27523"
"09.06.2022 06:00 - 09.06.2022 07:00","30133","31379"
"09.06.2022 07:00 - 09.06.2022 08:00","35469","36628"
"09.06.2022 08:00 - 09.06.2022 09:00","39636","41051"
"09.06.2022 09:00 - 09.06.2022 10:00","41238","42014"
"09.06.2022 10:00 - 09.06.2022 11:00","41349","41982"
"09.06.2022 11:00 - 09.06.2022 12:00","41333","41997"
"09.06.2022 12:00 - 09.06.2022 13:00","38572","41325"
"09.06.2022 13:00 - 09.06.2022 14:00","38632","39541"
"09.06.2022 14:00 - 09.06.2022 15:00","39727","40327"
"09.06.2022 15:00 - 09.06.2022 16:00","40594","40196"
"09.06.2022 16:00 - 09.06.2022 17:00","40732","39877"
"09.06.2022 17:00 - 09.06.2022 18:00","39996","39151"
"09.06.2022 18:00 - 09.06.2022 19:00","39007","37995"
"09.06.2022 19:00 - 09.06.2022 20:00","38741","37868"
"09.06.2022 20:00 - 09.06.2022 21:00","37755","36910"
"09.06.2022 21:00 - 09.06.2022 22:00","37122","36069"
"09.06.2022 22:00 - 09.06.2022 23:00","34586","33446"
"09.06.2022 23:00 - 10.06.2022 00:00","31589","30712"
"10.06.2022 00:00 - 10.06.2022 01:00","29168","28127"
"10.06.2022 01:00 - 10.06.2022 02:00","27412","26754"
"10.06.2022 02:00 - 10.06.2022 03:00","26516","25885"
"10.06.2022 03:00 - 10.06.2022 04:00","26325","25504"
"10.06.2022 04:00 - 10.06.2022 05:00","26332","25546"
"10.06.2022 05:00 - 10.06.2022 06:00","26874","26358"
"10.06.2022 06:00 - 10.06.2022 07:00","30026","29732"
"10.06.2022 07:00 - 10.06.2022 08:00","34974","34864"
"10.06.2022 08:00 - 10.06.2022 09:00","39161","39120"
"10.06.2022 09:00 - 10.06.2022 10:00","40623","40396"
"10.06.2022 10:00 - 10.06.2022 11:00","40774","41228"
"10.06.2022 11:00 - 10.06.2022 12:00","41159","41281"
"10.06.2022 12:00 - 10.06.2022 13:00","40569","39739"
"10.06.2022 13:00 - 10.06.2022 14:00","38621","39719"
"10.06.2022 14:00 - 10.06.2022 15:00","38733","39579"
"10.06.2022 15:00 - 10.06.2022 16:00","38411","39130"
"10.06.2022 16:00 - 10.06.2022 17:00","38310","39095"
"10.06.2022 17:00 - 10.06.2022 18:00","37232","38637"
"10.06.2022 18:00 - 10.06.2022 19:00","36944","38207"
"10.06.2022 19:00 - 10.06.2022 20:00","37771","38072"
"10.06.2022 20:00 - 10.06.2022 21:00","37000","36893"
"10.06.2022 21:00 - 10.06.2022 22:00","35833","36052"
"10.06.2022 22:00 - 10.06.2022 23:00","33488","33548"
"10.06.2022 23:00 - 11.06.2022 00:00","31057","31043"
"11.06.2022 00:00 - 11.06.2022 01:00","29072","28519"
"11.06.2022 01:00 - 11.06.2022 02:00","27524","27018"
"11.06.2022 02:00 - 11.06.2022 03:00","26451","25940"
"11.06.2022 03:00 - 11.06.2022 04:00","25816","25352"
"11.06.2022 04:00 - 11.06.2022 05:00","25471","25128"
"11.06.2022 05:00 - 11.06.2022 06:00","25274","24861"
"11.06.2022 06:00 - 11.06.2022 07:00","26162","26046"
"11.06.2022 07:00 - 11.06.2022 08:00","28374","28986"
"11.06.2022 08:00 - 11.06.2022 09:00","31013","31471"
"11.06.2022 09:00 - 11.06.2022 10:00","32920","32605"
"11.06.2022 10:00 - 11.06.2022 11:00","33184","32436"
"11.06.2022 11:00 - 11.06.2022 12:00","32336","32096"
"11.06.2022 12:00 - 11.06.2022 13:00","31278","30860"
"11.06.2022 13:00 - 11.06.2022 14:00","30856","30023"
"11.06.2022 14:00 - 11.06.2022 15:00","30321","29625"
"11.06.2022 15:00 - 11.06.2022 16:00","29801","29712"
"11.06.2022 16:00 - 11.06.2022 17:00","30310","30508"
"11.06.2022 17:00 - 11.06.2022 18:00","31414","31584"
"11.06.2022 18:00 - 11.06.2022 19:00","32197","32308"
"11.06.2022 19:00 - 11.06.2022 20:00","32512","32793"
"11.06.2022 20:00 - 11.06.2022 21:00","32961","32246"
"11.06.2022 21:00 - 11.06.2022 22:00","31841","31944"
"11.06.2022 22:00 - 11.06.2022 23:00","30540","30108"
"11.06.2022 23:00 - 12.06.2022 00:00","28913","27874"
"12.06.2022 00:00 - 12.06.2022 01:00","26141","25752"
"12.06.2022 01:00 - 12.06.2022 02:00","24599","24138"
"12.06.2022 02:00 - 12.06.2022 03:00","23626","23187"
"12.06.2022 03:00 - 12.06.2022 04:00","23022","22740"
"12.06.2022 04:00 - 12.06.2022 05:00","22814","22639"
"12.06.2022 05:00 - 12.06.2022 06:00","22461","21988"
"12.06.2022 06:00 - 12.06.2022 07:00","22386","22217"
"12.06.2022 07:00 - 12.06.2022 08:00","23724","23877"
"12.06.2022 08:00 - 12.06.2022 09:00","25281","25765"
"12.06.2022 09:00 - 12.06.2022 10:00","26549","27243"
"12.06.2022 10:00 - 12.06.2022 11:00","27642","27748"
"12.06.2022 11:00 - 12.06.2022 12:00","27740","27980"
"12.06.2022 12:00 - 12.06.2022 13:00","27610","28096"
"12.06.2022 13:00 - 12.06.2022 14:00","27554","27325"
"12.06.2022 14:00 - 12.06.2022 15:00","26860","26951"
"12.06.2022 15:00 - 12.06.2022 16:00","26607","27002"
"12.06.2022 16:00 - 12.06.2022 17:00","27111","27622"
"12.06.2022 17:00 - 12.06.2022 18:00","28076","28642"
"12.06.2022 18:00 - 12.06.2022 19:00","29213","29812"
"12.06.2022 19:00 - 12.06.2022 20:00","30438","30883"
"12.06.2022 20:00 - 12.06.2022 21:00","31220","31046"
"12.06.2022 21:00 - 12.06.2022 22:00","31323","31477"
"12.06.2022 22:00 - 12.06.2022 23:00","30471","30089"
"12.06.2022 23:00 - 13.06.2022 00:00","28163","27770"
"13.06.2022 00:00 - 13.06.2022 01:00","26234","25206"
"13.06.2022 01:00 - 13.06.2022 02:00","24666","23833"
"13.06.2022 02:00 - 13.06.2022 03:00","23735","23110"
"13.06.2022 03:00 - 13.06.2022 04:00","23346","22876"
"13.06.2022 04:00 - 13.06.2022 05:00","23675","23235"
"13.06.2022 05:00 - 13.06.2022 06:00","24702","24441"
"13.06.2022 06:00 - 13.06.2022 07:00","28889","28854"
"13.06.2022 07:00 - 13.06.2022 08:00","34751","34550"
"13.06.2022 08:00 - 13.06.2022 09:00","40118","39295"
"13.06.2022 09:00 - 13.06.2022 10:00","41944","40979"
"13.06.2022 10:00 - 13.06.2022 11:00","41889","40871"
"13.06.2022 11:00 - 13.06.2022 12:00","42530","41452"
"13.06.2022 12:00 - 13.06.2022 13:00","41592","40573"
"13.06.2022 13:00 - 13.06.2022 14:00","42237","40979"
"13.06.2022 14:00 - 13.06.2022 15:00","43349","42271"
"13.06.2022 15:00 - 13.06.2022 16:00","43830","42742"
"13.06.2022 16:00 - 13.06.2022 17:00","44028","43405"
"13.06.2022 17:00 - 13.06.2022 18:00","42815","42760"
"13.06.2022 18:00 - 13.06.2022 19:00","41964","41110"
"13.06.2022 19:00 - 13.06.2022 20:00","41555","40562"
"13.06.2022 20:00 - 13.06.2022 21:00","40675","39416"
"13.06.2022 21:00 - 13.06.2022 22:00","39689","38634"
"13.06.2022 22:00 - 13.06.2022 23:00","36925","35785"
"13.06.2022 23:00 - 14.06.2022 00:00","33642","33178"
"14.06.2022 00:00 - 14.06.2022 01:00","30652","30375"
"14.06.2022 01:00 - 14.06.2022 02:00","28811","28678"
"14.06.2022 02:00 - 14.06.2022 03:00","27815","27552"
"14.06.2022 03:00 - 14.06.2022 04:00","27371","27096"
"14.06.2022 04:00 - 14.06.2022 05:00","27206","27096"
"14.06.2022 05:00 - 14.06.2022 06:00","28201","27736"
"14.06.2022 06:00 - 14.06.2022 07:00","31509","31460"
"14.06.2022 07:00 - 14.06.2022 08:00","36955","36676"
"14.06.2022 08:00 - 14.06.2022 09:00","41266","41223"
"14.06.2022 09:00 - 14.06.2022 10:00","43448","42783"
"14.06.2022 10:00 - 14.06.2022 11:00","43371","42979"
"14.06.2022 11:00 - 14.06.2022 12:00","43624","43333"
"14.06.2022 12:00 - 14.06.2022 13:00","42664","41940"
"14.06.2022 13:00 - 14.06.2022 14:00","42638","41964"
"14.06.2022 14:00 - 14.06.2022 15:00","44079","43321"
"14.06.2022 15:00 - 14.06.2022 16:00","44680","44062"
"14.06.2022 16:00 - 14.06.2022 17:00","44163","44393"
"14.06.2022 17:00 - 14.06.2022 18:00","43197","43819"
"14.06.2022 18:00 - 14.06.2022 19:00","42294","42503"
"14.06.2022 19:00 - 14.06.2022 20:00","41371","41723"
"14.06.2022 20:00 - 14.06.2022 21:00","40597","40395"
"14.06.2022 21:00 - 14.06.2022 22:00","39626","39524"
"14.06.2022 22:00 - 14.06.2022 23:00","36723","36582"
"14.06.2022 23:00 - 15.06.2022 00:00","33777","33814"
"15.06.2022 00:00 - 15.06.2022 01:00","31404","31139"
"15.06.2022 01:00 - 15.06.2022 02:00","29548","29177"
"15.06.2022 02:00 - 15.06.2022 03:00","28313","28241"
"15.06.2022 03:00 - 15.06.2022 04:00","27780","27706"
"15.06.2022 04:00 - 15.06.2022 05:00","27804","27775"
"15.06.2022 05:00 - 15.06.2022 06:00","28390","28538"
"15.06.2022 06:00 - 15.06.2022 07:00","31379","31941"
"15.06.2022 07:00 - 15.06.2022 08:00","36569","37406"
"15.06.2022 08:00 - 15.06.2022 09:00","41320","42129"
"15.06.2022 09:00 - 15.06.2022 10:00","43029","43895"
"15.06.2022 10:00 - 15.06.2022 11:00","43344","44254"
"15.06.2022 11:00 - 15.06.2022 12:00","43465","44748"
"15.06.2022 12:00 - 15.06.2022 13:00","42202","43631"
"15.06.2022 13:00 - 15.06.2022 14:00","41885","43452"
"15.06.2022 14:00 - 15.06.2022 15:00","43826","44594"
"15.06.2022 15:00 - 15.06.2022 16:00","44311","45538"
"15.06.2022 16:00 - 15.06.2022 17:00","44387","45822"
"15.06.2022 17:00 - 15.06.2022 18:00","44138","45248"
"15.06.2022 18:00 - 15.06.2022 19:00","42766","43428"
"15.06.2022 19:00 - 15.06.2022 20:00","42110","42331"
"15.06.2022 20:00 - 15.06.2022 21:00","40688","40945"
"15.06.2022 21:00 - 15.06.2022 22:00","39125","39987"
"15.06.2022 22:00 - 15.06.2022 23:00","36649","36986"
"15.06.2022 23:00 - 16.06.2022 00:00","33938","34319"
"16.06.2022 00:00 - 16.06.2022 01:00","31810","31256"
"16.06.2022 01:00 - 16.06.2022 02:00","29814","29450"
"16.06.2022 02:00 - 16.06.2022 03:00","28756","28402"
"16.06.2022 03:00 - 16.06.2022 04:00","28226","27880"
"16.06.2022 04:00 - 16.06.2022 05:00","27862","27927"
"16.06.2022 05:00 - 16.06.2022 06:00","28523","28494"
"16.06.2022 06:00 - 16.06.2022 07:00","32068","32235"
"16.06.2022 07:00 - 16.06.2022 08:00","37518","37501"
"16.06.2022 08:00 - 16.06.2022 09:00","41910","41878"
"16.06.2022 09:00 - 16.06.2022 10:00","44073","44109"
"16.06.2022 10:00 - 16.06.2022 11:00","44444","44665"
"16.06.2022 11:00 - 16.06.2022 12:00","45019","45365"
"16.06.2022 12:00 - 16.06.2022 13:00","43762","44263"
"16.06.2022 13:00 - 16.06.2022 14:00","43516","44160"
"16.06.2022 14:00 - 16.06.2022 15:00","44212","44863"
"16.06.2022 15:00 - 16.06.2022 16:00","45277","45996"
"16.06.2022 16:00 - 16.06.2022 17:00","45619","46082"
"16.06.2022 17:00 - 16.06.2022 18:00","44914","45224"
"16.06.2022 18:00 - 16.06.2022 19:00","44171","44157"
"16.06.2022 19:00 - 16.06.2022 20:00","43595","43389"
"16.06.2022 20:00 - 16.06.2022 21:00","41531","42115"
"16.06.2022 21:00 - 16.06.2022 22:00","39896","41147"
"16.06.2022 22:00 - 16.06.2022 23:00","37403","38496"
"16.06.2022 23:00 - 17.06.2022 00:00","34358","35302"
"17.06.2022 00:00 - 17.06.2022 01:00","31932","32232"
"17.06.2022 01:00 - 17.06.2022 02:00","29936","30243"
"17.06.2022 02:00 - 17.06.2022 03:00","28655","29034"
"17.06.2022 03:00 - 17.06.2022 04:00","28074","28558"
"17.06.2022 04:00 - 17.06.2022 05:00","28196","28562"
"17.06.2022 05:00 - 17.06.2022 06:00","28436","29075"
"17.06.2022 06:00 - 17.06.2022 07:00","31460","32926"
"17.06.2022 07:00 - 17.06.2022 08:00","36816","37981"
"17.06.2022 08:00 - 17.06.2022 09:00","41248","42629"
"17.06.2022 09:00 - 17.06.2022 10:00","44149","44913"
"17.06.2022 10:00 - 17.06.2022 11:00","45115","45148"
"17.06.2022 11:00 - 17.06.2022 12:00","45695","45630"
"17.06.2022 12:00 - 17.06.2022 13:00","44595","44904"
"17.06.2022 13:00 - 17.06.2022 14:00","44387","44872"
"17.06.2022 14:00 - 17.06.2022 15:00","45203","45837"
"17.06.2022 15:00 - 17.06.2022 16:00","46063","45824"
"17.06.2022 16:00 - 17.06.2022 17:00","45801","45338"
"17.06.2022 17:00 - 17.06.2022 18:00","45383","44158"
"17.06.2022 18:00 - 17.06.2022 19:00","43765","43098"
"17.06.2022 19:00 - 17.06.2022 20:00","42516","42476"
"17.06.2022 20:00 - 17.06.2022 21:00","41165","41143"
"17.06.2022 21:00 - 17.06.2022 22:00","39980","40164"
"17.06.2022 22:00 - 17.06.2022 23:00","37441","37588"
"17.06.2022 23:00 - 18.06.2022 00:00","34632","34901"
"18.06.2022 00:00 - 18.06.2022 01:00","32262","31946"
"18.06.2022 01:00 - 18.06.2022 02:00","30252","29923"
"18.06.2022 02:00 - 18.06.2022 03:00","28768","28720"
"18.06.2022 03:00 - 18.06.2022 04:00","27877","27949"
"18.06.2022 04:00 - 18.06.2022 05:00","27475","27572"
"18.06.2022 05:00 - 18.06.2022 06:00","27233","26984"
"18.06.2022 06:00 - 18.06.2022 07:00","28106","28211"
"18.06.2022 07:00 - 18.06.2022 08:00","30936","30994"
"18.06.2022 08:00 - 18.06.2022 09:00","33835","33513"
"18.06.2022 09:00 - 18.06.2022 10:00","36121","35130"
"18.06.2022 10:00 - 18.06.2022 11:00","36596","35380"
"18.06.2022 11:00 - 18.06.2022 12:00","36268","34926"
"18.06.2022 12:00 - 18.06.2022 13:00","35031","34009"
"18.06.2022 13:00 - 18.06.2022 14:00","34010","33063"
"18.06.2022 14:00 - 18.06.2022 15:00","33648","32834"
"18.06.2022 15:00 - 18.06.2022 16:00","33365","32779"
"18.06.2022 16:00 - 18.06.2022 17:00","34484","33364"
"18.06.2022 17:00 - 18.06.2022 18:00","35490","34519"
"18.06.2022 18:00 - 18.06.2022 19:00","36165","35153"
"18.06.2022 19:00 - 18.06.2022 20:00","36345","35496"
"18.06.2022 20:00 - 18.06.2022 21:00","35937","34563"
"18.06.2022 21:00 - 18.06.2022 22:00","34624","34052"
"18.06.2022 22:00 - 18.06.2022 23:00","33106","32334"
"18.06.2022 23:00 - 19.06.2022 00:00","30766","30291"
"19.06.2022 00:00 - 19.06.2022 01:00","28740","28150"
"19.06.2022 01:00 - 19.06.2022 02:00","26798","26394"
"19.06.2022 02:00 - 19.06.2022 03:00","25514","25309"
"19.06.2022 03:00 - 19.06.2022 04:00","24669","24413"
"19.06.2022 04:00 - 19.06.2022 05:00","24304","24003"
"19.06.2022 05:00 - 19.06.2022 06:00","23656","23549"
"19.06.2022 06:00 - 19.06.2022 07:00","23596","23697"
"19.06.2022 07:00 - 19.06.2022 08:00","24933","25207"
"19.06.2022 08:00 - 19.06.2022 09:00","26584","27136"
"19.06.2022 09:00 - 19.06.2022 10:00","28187","28671"
"19.06.2022 10:00 - 19.06.2022 11:00","29313","29289"
"19.06.2022 11:00 - 19.06.2022 12:00","30280","29754"
"19.06.2022 12:00 - 19.06.2022 13:00","30326","30097"
"19.06.2022 13:00 - 19.06.2022 14:00","29162","29693"
"19.06.2022 14:00 - 19.06.2022 15:00","28882","29501"
"19.06.2022 15:00 - 19.06.2022 16:00","28888","29811"
"19.06.2022 16:00 - 19.06.2022 17:00","29142","30299"
"19.06.2022 17:00 - 19.06.2022 18:00","29461","31212"
"19.06.2022 18:00 - 19.06.2022 19:00","30198","32168"
"19.06.2022 19:00 - 19.06.2022 20:00","31166","33046"
"19.06.2022 20:00 - 19.06.2022 21:00","32421","33025"
"19.06.2022 21:00 - 19.06.2022 22:00","33739","33476"
"19.06.2022 22:00 - 19.06.2022 23:00","33143","32437"
"19.06.2022 23:00 - 20.06.2022 00:00","30882","29902"
"20.06.2022 00:00 - 20.06.2022 01:00","27223","27240"
"20.06.2022 01:00 - 20.06.2022 02:00","25695","25741"
"20.06.2022 02:00 - 20.06.2022 03:00","24903","24946"
"20.06.2022 03:00 - 20.06.2022 04:00","24344","24368"
"20.06.2022 04:00 - 20.06.2022 05:00","24388","24601"
"20.06.2022 05:00 - 20.06.2022 06:00","25469","25804"
"20.06.2022 06:00 - 20.06.2022 07:00","29808","30492"
"20.06.2022 07:00 - 20.06.2022 08:00","36048","36197"
"20.06.2022 08:00 - 20.06.2022 09:00","41677","40993"
"20.06.2022 09:00 - 20.06.2022 10:00","44131","43107"
"20.06.2022 10:00 - 20.06.2022 11:00","43899","43802"
"20.06.2022 11:00 - 20.06.2022 12:00","44368","44304"
"20.06.2022 12:00 - 20.06.2022 13:00","43376","43028"
"20.06.2022 13:00 - 20.06.2022 14:00","43498","43683"
"20.06.2022 14:00 - 20.06.2022 15:00","45682","44972"
"20.06.2022 15:00 - 20.06.2022 16:00","46449","45367"
"20.06.2022 16:00 - 20.06.2022 17:00","46821","45608"
"20.06.2022 17:00 - 20.06.2022 18:00","46044","45073"
"20.06.2022 18:00 - 20.06.2022 19:00","45484","44093"
"20.06.2022 19:00 - 20.06.2022 20:00","44907","43248"
"20.06.2022 20:00 - 20.06.2022 21:00","43504","41615"
"20.06.2022 21:00 - 20.06.2022 22:00","41503","40912"
"20.06.2022 22:00 - 20.06.2022 23:00","39140","38365"
"20.06.2022 23:00 - 21.06.2022 00:00","36070","35473"
"21.06.2022 00:00 - 21.06.2022 01:00","31787","32385"
"21.06.2022 01:00 - 21.06.2022 02:00","30054","30528"
"21.06.2022 02:00 - 21.06.2022 03:00","28919","29402"
"21.06.2022 03:00 - 21.06.2022 04:00","28408","28903"
"21.06.2022 04:00 - 21.06.2022 05:00","28363","28649"
"21.06.2022 05:00 - 21.06.2022 06:00","29099","29435"
"21.06.2022 06:00 - 21.06.2022 07:00","32734","33127"
"21.06.2022 07:00 - 21.06.2022 08:00","38675","38405"
"21.06.2022 08:00 - 21.06.2022 09:00","43476","43356"
"21.06.2022 09:00 - 21.06.2022 10:00","45542","45526"
"21.06.2022 10:00 - 21.06.2022 11:00","46019","46133"
"21.06.2022 11:00 - 21.06.2022 12:00","46562","46852"
"21.06.2022 12:00 - 21.06.2022 13:00","45404","45691"
"21.06.2022 13:00 - 21.06.2022 14:00","45354","46054"
"21.06.2022 14:00 - 21.06.2022 15:00","46595","46970"
"21.06.2022 15:00 - 21.06.2022 16:00","47476","47683"
"21.06.2022 16:00 - 21.06.2022 17:00","47520","47936"
"21.06.2022 17:00 - 21.06.2022 18:00","46759","47399"
"21.06.2022 18:00 - 21.06.2022 19:00","44812","45810"
"21.06.2022 19:00 - 21.06.2022 20:00","44337","44355"
"21.06.2022 20:00 - 21.06.2022 21:00","43513","42681"
"21.06.2022 21:00 - 21.06.2022 22:00","42715","41631"
"21.06.2022 22:00 - 21.06.2022 23:00","40444","39061"
"21.06.2022 23:00 - 22.06.2022 00:00","37592","36264"
"22.06.2022 00:00 - 22.06.2022 01:00","33386","33262"
"22.06.2022 01:00 - 22.06.2022 02:00","31486","31491"
"22.06.2022 02:00 - 22.06.2022 03:00","30277","30223"
"22.06.2022 03:00 - 22.06.2022 04:00","29681","29468"
"22.06.2022 04:00 - 22.06.2022 05:00","29391","29444"
"22.06.2022 05:00 - 22.06.2022 06:00","30138","30191"
"22.06.2022 06:00 - 22.06.2022 07:00","33537","33610"
"22.06.2022 07:00 - 22.06.2022 08:00","38879","38781"
"22.06.2022 08:00 - 22.06.2022 09:00","43719","43889"
"22.06.2022 09:00 - 22.06.2022 10:00","46317","46229"
"22.06.2022 10:00 - 22.06.2022 11:00","47063","46890"
"22.06.2022 11:00 - 22.06.2022 12:00","47537","47065"
"22.06.2022 12:00 - 22.06.2022 13:00","46770","45083"
"22.06.2022 13:00 - 22.06.2022 14:00","46664","45857"
"22.06.2022 14:00 - 22.06.2022 15:00","47841","46414"
"22.06.2022 15:00 - 22.06.2022 16:00","48561","46627"
"22.06.2022 16:00 - 22.06.2022 17:00","48728","46854"
"22.06.2022 17:00 - 22.06.2022 18:00","48204","45850"
"22.06.2022 18:00 - 22.06.2022 19:00","47153","44261"
"22.06.2022 19:00 - 22.06.2022 20:00","46005","42911"
"22.06.2022 20:00 - 22.06.2022 21:00","44091","41636"
"22.06.2022 21:00 - 22.06.2022 22:00","43022","41039"
"22.06.2022 22:00 - 22.06.2022 23:00","41066","38625"
"22.06.2022 23:00 - 23.06.2022 00:00","38096","35654"
"23.06.2022 00:00 - 23.06.2022 01:00","33098","32615"
"23.06.2022 01:00 - 23.06.2022 02:00","31517","30903"
"23.06.2022 02:00 - 23.06.2022 03:00","30218","29878"
"23.06.2022 03:00 - 23.06.2022 04:00","29420","29421"
"23.06.2022 04:00 - 23.06.2022 05:00","29339","29387"
"23.06.2022 05:00 - 23.06.2022 06:00","30207","30032"
"23.06.2022 06:00 - 23.06.2022 07:00","33541","33462"
"23.06.2022 07:00 - 23.06.2022 08:00","39041","38294"
"23.06.2022 08:00 - 23.06.2022 09:00","44314","42803"
"23.06.2022 09:00 - 23.06.2022 10:00","46840","44535"
